content,label,tokens
什么是电气一次设备和一次回路,1.0,"['什么', '是', '电气', '一次', '设备', '和', '一次', '回路']"
一次设备是指直接生产输送和分配电能的高压,0.0,"['一次', '设备', '是', '指', '直接', '生产', '输送', '和', '分配', '电能', '的', '高压']"
什么是电气二次设备和二次回路,1.0,"['什么', '是', '电气', '二次', '设备', '和', '二次', '回路']"
二次设备是指对一次设备的工作进行监测控制,0.0,"['二次', '设备', '是', '指', '对', '一次', '设备', '的', '工作', '进行', '监测', '控制']"
哪些回路属于连接保护装置的二次回路,1.0,"['哪些', '回路', '属于', '连接', '保护装置', '的', '二次', '回路']"
模拟量输入回路从电流互感器电压互感器二次,0.0,"['模拟量', '输入', '回路', '从', '电流', '互感器', '电压', '互感器', '二次']"
二次回路的电路图按任务不同可分为几种,1.0,"['二次', '回路', '的', '电路图', '按', '任务', '不同', '可', '分为', '几种']"
看二次图的基本方法,1.0,"['看', '二次', '图', '的', '基本', '方法']"
怎样读端子排图,1.0,"['怎样', '读', '端子', '排图']"
端子排图表示屏内与屏外设备间的连接端子同,0.0,"['端子', '排图', '表示', '屏内', '与', '屏外', '设备', '间', '的', '连接', '端子', '同']"
什么是二次回路标号,1.0,"['什么', '是', '二次', '回路', '标号']"
为便于安装运行和维护在二次回路中的所有设,0.0,"['为', '便于', '安装', '运行', '和', '维护', '在', '二次', '回路', '中', '的', '所有', '设']"
回路标号的基本原则是凡是各设备间要用控制,0.0,"['回路', '标号', '的', '基本', '原则', '是', '凡是', '各', '设备', '间', '要', '用', '控制']"
为了明确起见对直流回路和交流回路采用不同,0.0,"['为了', '明确', '起见', '对', '直流', '回路', '和', '交流', '回路', '采用', '不同']"
二次回路标号的基本方法是什么,1.0,"['二次', '回路', '标号', '的', '基本', '方法', '是', '什么']"
电气设备的触点线圈电阻电容等元件所间隔的,0.0,"['电气设备', '的', '触点', '线圈', '电阻', '电容', '等', '元件', '所', '间隔', '的']"
简述直流回路的标号细则,1.0,"['简述', '直流', '回路', '的', '标号', '细则']"
控制和保护回路使用的数字标号按熔断器所属,0.0,"['控制', '和', '保护', '回路', '使用', '的', '数字', '标号', '按', '熔断器', '所属']"
正极回路的线段按奇数标号负极回路的线段按,0.0,"['正极', '回路', '的', '线段', '按', '奇数', '标号', '负极', '回路', '的', '线段', '按']"
简述交流回路的标号细则,1.0,"['简述', '交流', '回路', '的', '标号', '细则']"
电流互感器和电压互感器的回路均须在分配给,0.0,"['电流', '互感器', '和', '电压', '互感器', '的', '回路', '均', '须', '在', '分配', '给']"
电流互感器的极性标志方法,1.0,"['电流', '互感器', '的', '极性', '标志', '方法']"
电流互感器的极性接错将会造成保护的错误动,0.0,"['电流', '互感器', '的', '极性', '接错', '将', '会', '造成', '保护', '的', '错误', '动']"
电流互感器误差曲线的含义及用途,1.0,"['电流', '互感器', '误差', '曲线', '的', '含义', '及', '用途']"
所谓误差曲线是指在比值误差为时一次电流倍,0.0,"['所谓', '误差', '曲线', '是', '指', '在', '比值', '误差', '为', '时', '一次', '电流', '倍']"
电流互感器二次负载阻抗的大小对互感器的准,0.0,"['电流', '互感器', '二次', '负载', '阻抗', '的', '大小', '对', '互感器', '的', '准']"
电压互感器的接线方式,1.0,"['电压', '互感器', '的', '接线', '方式']"
解释电压互感器电压比的含义,1.0,"['解释', '电压', '互感器', '电压', '比', '的', '含义']"
电压互感器和电流互感器在作用原理上有什么区别,1.0,"['电压', '互感器', '和', '电流', '互感器', '在', '作用', '原理', '上', '有', '什么', '区别']"
相对于二次侧的负荷来说电压互感器的一次内,0.0,"['相对', '于', '二次', '侧', '的', '负荷', '来说', '电压', '互感器', '的', '一次', '内']"
电流互感器在运行中为什么要严防二次侧开路,1.0,"['电流', '互感器', '在', '运行', '中', '为什么', '要', '严防', '二次', '侧', '开路']"
电流互感器在正常运行时二次电流产生的磁通,0.0,"['电流', '互感器', '在', '正常', '运行', '时', '二次', '电流', '产生', '的', '磁通']"
电压互感器在运行中为什么要严防二次侧短路,1.0,"['电压', '互感器', '在', '运行', '中', '为什么', '要', '严防', '二次', '侧', '短路']"
电压互感器是一个内阻极小的电压源正常运行,0.0,"['电压', '互感器', '是', '一个', '内阻', '极小', '的', '电压', '源', '正常', '运行']"
断路器控制回路的任务的分类,1.0,"['断路器', '控制', '回路', '的', '任务', '的', '分类']"
断路器控制回路用来操作断路器的跳合闸断路,0.0,"['断路器', '控制', '回路', '用来', '操作', '断路器', '的', '跳', '合闸', '断路']"
对断路器控制回路有哪些基本要求,1.0,"['对', '断路器', '控制', '回路', '有', '哪些', '基本', '要求']"
应有对控制电源的监视回路断路器的控制电源,0.0,"['应有', '对', '控制', '电源', '的', '监视', '回路', '断路器', '的', '控制', '电源']"
应有防止断路器跳跃的电气闭锁装置发生跳跃,0.0,"['应有', '防止', '断路器', '跳跃', '的', '电气', '闭锁', '装置', '发生', '跳跃']"
信号装置的任务和分类,1.0,"['信号', '装置', '的', '任务', '和', '分类']"
断路器控制信号回路中的信号装置用来指示断,0.0,"['断路器', '控制', '信号', '回路', '中', '的', '信号', '装置', '用来', '指示', '断']"
事故信号用来显示断路器在事故情况下的工作,0.0,"['事故', '信号', '用来', '显示', '断路器', '在', '事故', '情况', '下', '的', '工作']"
预告信号是在一次电路和设备出现不正常状态,0.0,"['预告', '信号', '是', '在', '一次', '电路', '和', '设备', '出现', '不', '正常', '状态']"
何谓断路器的跳跃和防跳,1.0,"['何谓', '断路器', '的', '跳跃', '和', '防', '跳']"
